Loan Identifier|Loan Correction Indicator|Prefix|Security Identifier|CUSIP|Mortgage Loan Amount|Issuance Investor Loan UPB|Current Investor Loan UPB|Amortization Type|Original Interest Rate|Issuance Interest Rate|Current Interest Rate|Issuance Net Interest Rate|Current Net Interest Rate|First Payment Date|Maturity Date|Loan Term|Remaining Months to Maturity|Loan Age|Loan-To-Value (LTV)|Combined Loan-To-Value (CLTV)|Debt-To-Income (DTI)|Borrower Credit Score|Filler|Filler|Filler|Number of Borrowers|First Time Home Buyer Indicator|Loan Purpose|Occupancy Status|Number of Units|Property Type|Channel|Property State|Seller Name|Servicer Name|Mortgage Insurance Percent|Mortgage Insurance Cancellation Indicator|Government Insured Guarantee|Assumability Indicator|Interest Only Loan Indicator|Interest Only First Principal and Interest Payment Date|Months to Amortization|Prepayment Penalty Indicator|Prepayment Penalty Total Term|Index|Mortgage Margin|MBS PC Margin|Interest Rate Adjustment Frequency|Interest Rate Lookback|Interest Rate Rounding Method|Interest Rate Rounding Method Percent|Convertibility Indicator|Initial Fixed Rate Period|Next Interest Rate Adjustment Date|Months to Next Interest Rate Adjustment Date|Life Ceiling Interest Rate|Life Ceiling Net Interest Rate|Life Floor Interest Rate|Life Floor Net Interest Rate|Initial Interest Rate Cap Up Percent|Initial Interest Rate Cap Down Percent|Periodic Interest Rate Cap Up Percent|Periodic Interest Rate Cap Down Percent|Modification Program|Modification Type|Number of Modifications|Total Capitalized Amount|Interest Bearing Mortgage Loan Amount|Original Deferred Amount|Current Deferred UPB|Loan Age As Of Modification|Estimated Loan-To-Value (ELTV)|Updated Credit Score|Filler|Interest Rate Step Indicator|Initial Step Fixed-Rate Period|Total Number of Steps|Number of Remaining Steps|Next Step Rate|Terminal Step Rate|Terminal Step Date|Step Rate Adjustment Frequency|Next Step Rate Adjustment Date|Months to Next Step Rate Adjustment Date|Periodic Step Cap Up Percent|Origination Mortgage Loan Amount|Origination Interest Rate|Origination Amortization Type|Origination Interest Only Loan Indicator|Origination First Payment Date|Origination Maturity Date|Origination Loan Term|Origination Loan-To-Value (LTV)|Origination Combined Loan-To-Value (CLTV)|Origination Debt-To-Income Ratio|Origination Credit Score|Filler|Filler|Filler|Origination Loan Purpose|Origination Occupancy Status|Origination Channel|Days Delinquent|Loan Performance History|Loan Participation Percent|Property Valuation Method|Alternative Delinquency Resolution|Number of Alternative Delinquency Resolutions|Total Deferral Amount|Borrower Assistance Plan|Seller City|Seller State|Servicer City|Servicer State|Special Eligibility Program
U90133000006|No|U9|U90133|3132H3EE9|127000.00|126000.00|98530.54|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|229|128|144|144|26|800||||2|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|IL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000011|No|U9|U90133|3132H3EE9|128000.00|128000.00|87959.84|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|191|128|234|234|58|689||||2|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|AZ|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000013|No|U9|U90133|3132H3EE9|135000.00|135000.00|94164.60|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|194|128|137|137|26|787||||2|No|Refinance - No Cash Out|Investment Property|1|Planned Unit|Retail|AZ|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000014|No|U9|U90133|3132H3EE9|119000.00|118000.00|90510.21|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|224|128|230|230|50|745||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|AZ|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000016|No|U9|U90133|3132H3EE9|219000.00|218000.00|123331.11|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|145|128|147|147|14|737||||2|No|Refinance - No Cash Out|Primary Home|1|Planned Unit|Retail|IL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|25|No||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000026|No|U9|U90133|3132H3EE9|308000.00|307000.00|237269.54|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|226|128|213|213|59|800||||1|No|Refinance - No Cash Out|Investment Property|1|Single Family|Retail|CA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000031|No|U9|U90133|3132H3EE9|150000.00|150000.00|117549.84|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|232|128|133|133|30|771||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|GA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Yes||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000032|No|U9|U90133|3132H3EE9|104000.00|104000.00|81278.93|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|232|128|185|185|34|790||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|FL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000034|No|U9|U90133|3132H3EE9|102000.00|102000.00|79357.46|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|232|128|192|192|17|746||||2|No|Refinance - No Cash Out|Primary Home|1|Condominium|Retail|FL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|12|No||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000046|No|U9|U90133|3132H3EE9|318000.00|318000.00|247085.92|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|229|128|128|128|40|788||||1|No|Refinance - No Cash Out|Investment Property|1|Condominium|Retail|IL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
